match_id,match_date,home_team,away_team,opponent,sweden_status,sweden_possession,opponent_possession
5574528,2024-04-05,England,Sweden,England,Away,35.7,64.3
5574544,2024-05-31,Republic of Ireland,Sweden,Republic of Ireland,Away,61.9,38.1
5574551,2024-06-04,Sweden,Republic of Ireland,Republic of Ireland,Home,66.5,33.5
5674976,2025-02-21,Denmark,Sweden,Denmark,Away,40.9,59.1
5674984,2025-02-25,Wales,Sweden,Wales,Away,65.1,34.9
5674994,2025-04-04,Sweden,Italy,Italy,Home,57.5,42.5
