match_id,match_date,recovery_time,recovery_x,recovery_y,recovery_player,recovery_player_id,time_to_attack,vert_progression,progression_speed,first_action_type,action_player
5674976,2025-02-21,2966620,62.0,73.0,,0,6.521,-2.0,-0.30670142616163165,pass,F. Rolfö
5674976,2025-02-21,2974904,78.0,84.0,,0,1.515,0.0,0.0,pass,J. Rytting Kaneryd
5674976,2025-02-21,2997668,73.0,70.0,,0,4.12,-21.0,-5.097087378640777,pass,M. Eriksson
5674976,2025-02-21,3008916,66.0,69.0,J. Zigiotti Olme,226313,1.092,5.0,4.5787545787545785,pass,J. Zigiotti Olme
5674976,2025-02-21,3009554,71.0,64.0,,0,0.454,0.0,0.0,pass,J. Zigiotti Olme
5674976,2025-02-21,3056484,44.0,14.0,F. Rolfö,52410,6.376,22.0,3.450439146800502,pass,F. Rolfö
5674976,2025-02-21,3174937,39.0,84.0,F. Angeldahl,212489,4.328,-21.0,-4.852125693160813,pass,M. Eriksson
5674976,2025-02-21,3201232,77.0,23.0,S. Blackstenius,248583,0.842,2.0,2.375296912114014,pass,S. Blackstenius
5674976,2025-02-21,3306683,44.0,90.0,L. Sembrant,52976,2.437,-6.0,-2.4620434961017645,pass,H. Lundkvist
5674976,2025-02-21,3312841,62.0,30.0,F. Rolfö,52410,4.171,2.0,0.4795013186286262,pass,H. Lundkvist
5674976,2025-02-21,3314267,62.0,51.0,F. Rolfö,52410,2.745,2.0,0.7285974499089253,pass,H. Lundkvist
5674976,2025-02-21,3349746,92.0,66.0,F. Angeldahl,212489,4.391,-20.0,-4.554771122751082,pass,H. Bennison
5674976,2025-02-21,3398220,88.0,81.0,F. Angeldahl,212489,9.496,9.0,0.9477674810446504,pass,J. Rytting Kaneryd
5674976,2025-02-21,3402679,78.0,92.0,H. Lundkvist,571908,5.037,19.0,3.772086559459996,pass,J. Rytting Kaneryd
5674976,2025-02-21,3404323,85.0,93.0,J. Rytting Kaneryd,248585,3.393,12.0,3.5366931918656057,pass,J. Rytting Kaneryd
5674976,2025-02-21,3467908,79.0,91.0,,0,3.766,-5.0,-1.327668613913967,pass,J. Rytting Kaneryd
5674976,2025-02-21,3469694,72.0,84.0,J. Rytting Kaneryd,248585,1.98,2.0,1.0101010101010102,pass,J. Rytting Kaneryd
5674976,2025-02-21,3473577,77.0,68.0,F. Rolfö,52410,2.297,2.0,0.8707009142359599,shot,F. Rolfö
