match_id,match_date,home_team,away_team,opponent,sweden_status,opponent_passes,sweden_defensive_actions,ppda,ppda_def_third,ppda_mid_third,ppda_atk_third,result,outcome,sweden_goals,opponent_goals
5574528,2024-04-05,England,Sweden,England,Away,592,285,2.07719298245614,1.3493975903614457,2.1417910447761193,2.838235294117647,1-1,draw,1,1
5574544,2024-05-31,Republic of Ireland,Sweden,Republic of Ireland,Away,270,295,0.9152542372881356,0.3854166666666667,0.8706896551724138,1.5903614457831325,0-3,win,3,0
5574551,2024-06-04,Sweden,Republic of Ireland,Republic of Ireland,Home,189,218,0.8669724770642202,0.7391304347826086,0.94,0.8472222222222222,1-0,win,1,0
5674976,2025-02-21,Denmark,Sweden,Denmark,Away,545,291,1.872852233676976,1.295774647887324,1.8130081300813008,2.3711340206185567,1-2,win,2,1
5674984,2025-02-25,Wales,Sweden,Wales,Away,264,264,1.0,0.6071428571428571,0.9421487603305785,1.3333333333333333,1-1,draw,1,1
5674994,2025-04-04,Sweden,Italy,Italy,Home,357,221,1.6153846153846154,1.1568627450980393,1.4782608695652173,2.076923076923077,3-2,win,3,2
